iter	RMSE
0	14.90266005
1	14.53520523
2	14.15276055
3	13.78059964
4	13.43603087
5	13.13172437
6	12.82650311
7	12.54843557
8	12.28095783
9	11.97553506
10	11.68312344
11	11.43482838
12	11.15710361
13	10.91863043
14	10.67860014
15	10.44315403
16	10.23309461
17	10.03659319
18	9.829731775
19	9.636901704
20	9.483257349
21	9.308564031
22	9.136521118
23	8.973842003
24	8.82242089
25	8.670259868
26	8.532081289
27	8.409352177
28	8.272450673
29	8.147664078
30	8.04721134
31	7.943126564
32	7.842654164
33	7.748883835
34	7.644107866
35	7.551451601
36	7.455305985
37	7.369594297
38	7.283315149
39	7.21022441
40	7.128022176
41	7.052573077
42	6.983039583
43	6.91725133
44	6.860807573
45	6.798328958
46	6.731383366
47	6.676021859
48	6.614695836
49	6.564822599
50	6.514891137
51	6.465965935
52	6.421297657
53	6.373405435
54	6.32784634
55	6.28811932
56	6.25143229
57	6.216491004
58	6.187179392
59	6.156730049
60	6.124744626
61	6.091219753
62	6.059411367
63	6.023397902
64	5.993943127
65	5.964297813
66	5.936592277
67	5.909413524
68	5.883965387
69	5.858545954
70	5.833631926
71	5.809902795
72	5.790153121
73	5.764810709
74	5.745842701
75	5.726678255
76	5.711229094
77	5.693900291
78	5.67674509
79	5.65311776
80	5.638618695
81	5.626452201
82	5.610500592
83	5.597763361
84	5.584921378
85	5.56677993
86	5.551099003
87	5.541264465
88	5.527308459
89	5.515471448
90	5.502213964
91	5.492780459
92	5.478986075
93	5.472755587
94	5.46363414
95	5.44764951
96	5.439268311
97	5.42913576
98	5.420252337
99	5.409365946
100	5.398386636
101	5.390348443
102	5.378185887
103	5.370485266
104	5.362747866
105	5.356311006
106	5.347503336
107	5.340300635
108	5.334906884
109	5.327498294
110	5.320697253
111	5.314576122
112	5.307388107
113	5.299697835
114	5.295286211
115	5.289748312
116	5.280817304
117	5.27501651
118	5.269142645
119	5.264168684
120	5.258987199
121	5.249345552
122	5.24361152
123	5.236548836
124	5.234108805
125	5.227755962
126	5.223849721
127	5.21590227
128	5.210549849
129	5.206990451
130	5.199945335
131	5.195346687
132	5.1890164
133	5.182862404
134	5.178250306
135	5.171613034
136	5.167604362
137	5.164863892
138	5.161323561
139	5.158142226
140	5.153418326
141	5.148879125
142	5.144421948
143	5.139115118
144	5.135278103
145	5.132854687
146	5.127765597
147	5.123419762
148	5.117705556
149	5.111895982
150	5.10582664
151	5.104028978
152	5.097622101
153	5.095637963
154	5.091347386
155	5.083759244
156	5.078564558
157	5.073767837
158	5.067435317
159	5.064375274
160	5.061086277
161	5.056734978
162	5.048640783
163	5.041018724
164	5.035143149
165	5.033127252
166	5.030298814
167	5.027245762
168	5.021241101
169	5.017981551
170	5.012571079
171	5.007632316
172	5.001446487
173	4.996656802
174	4.990052978
175	4.987079187
176	4.983488693
177	4.981254545
178	4.977437352
179	4.972841395
180	4.968276131
181	4.962524081
182	4.958536256
183	4.954670689
184	4.952275817
185	4.947270064
186	4.941465132
187	4.93772972
188	4.935857893
189	4.931816768
190	4.928002118
191	4.922826511
192	4.918612931
193	4.91441334
194	4.911158986
195	4.908476592
196	4.905269468
197	4.899577712
198	4.896801894
199	4.892980262
200	4.889493308
201	4.886961771
202	4.882012219
203	4.878275335
204	4.875967235
205	4.871203357
206	4.867771655
207	4.865156419
208	4.862443094
209	4.858738036
210	4.854974507
211	4.848086178
212	4.84501101
213	4.841331669
214	4.839162198
215	4.836431976
216	4.832043548
217	4.828361703
218	4.825973803
219	4.821808472
220	4.818106459
221	4.814193221
222	4.809623786
223	4.807623654
224	4.804783952
225	4.803273176
226	4.798472747
227	4.795233103
228	4.791919005
229	4.787993263
230	4.784471054
231	4.780980618
232	4.778470904
233	4.776402868
234	4.771816176
235	4.766743098
236	4.762188431
237	4.758079238
238	4.754220393
239	4.750179916
240	4.746299523
241	4.743915684
242	4.7393067
243	4.736837342
244	4.732582434
245	4.727954208
246	4.725663911
247	4.72286011
248	4.718984897
249	4.718356608
250	4.711105363
251	4.707014849
252	4.704296842
253	4.702368866
254	4.699558268
255	4.697660886
256	4.689450909
257	4.687929384
258	4.683783656
259	4.680212225
260	4.672377872
261	4.666690388
262	4.664000218
263	4.661451622
264	4.658602395
265	4.657443433
266	4.653533203
267	4.651149353
268	4.647487723
269	4.64579487
270	4.644158637
271	4.641639869
272	4.638757092
273	4.635431582
274	4.631834006
275	4.628377003
276	4.627242416
277	4.626064971
278	4.624585175
279	4.62016547
280	4.617768681
281	4.614399718
