iter	Passed	Remaining
0	5	5477
1	6	3076
2	6	2244
3	7	1837
4	7	1586
5	8	1415
6	9	1284
7	9	1186
8	10	1107
9	10	1039
10	10	987
11	11	942
12	11	906
13	12	877
14	12	848
15	13	824
16	13	801
17	14	785
18	14	770
19	15	756
20	16	746
21	16	735
22	17	725
23	17	716
24	18	707
25	18	699
26	19	690
27	19	681
28	20	675
29	20	667
30	21	662
31	21	659
32	22	656
33	22	653
34	23	648
35	24	644
36	24	642
37	25	638
38	25	635
39	26	631
40	26	628
41	27	626
42	27	621
43	28	616
44	28	614
45	29	612
46	30	609
47	30	605
48	30	601
49	31	596
50	31	593
51	32	590
52	32	587
53	33	584
54	33	581
55	34	577
56	34	575
57	35	572
58	35	571
59	36	570
60	37	570
61	37	569
62	38	570
63	38	569
64	39	568
65	40	566
66	40	566
67	41	564
68	41	561
69	42	559
70	42	557
71	43	555
72	43	553
73	44	553
74	44	551
75	45	550
76	45	550
77	46	548
78	46	547
79	47	545
80	47	543
81	48	542
82	49	541
83	49	539
84	49	537
85	50	535
86	50	534
87	51	534
88	52	533
89	52	532
90	53	536
91	54	534
92	54	534
93	55	531
94	55	531
95	56	531
96	57	531
97	57	529
98	58	528
99	58	527
100	59	527
101	59	526
102	60	525
103	60	525
104	61	524
105	62	524
106	62	523
107	63	522
108	63	521
109	64	520
110	65	520
111	65	520
112	66	519
113	66	518
114	67	518
115	68	518
116	68	517
117	69	517
118	69	516
119	70	516
120	70	514
121	71	513
122	71	513
123	72	512
124	73	511
125	73	510
126	74	509
127	74	508
128	75	508
129	75	508
130	76	507
131	77	506
132	77	505
133	78	504
134	78	503
135	79	503
136	79	502
137	80	501
138	80	501
139	81	500
140	81	499
141	82	498
142	83	497
143	83	497
144	84	497
145	84	496
146	85	496
147	86	495
148	86	495
149	87	494
150	87	493
151	88	493
152	88	492
153	89	492
154	90	492
155	90	491
156	91	490
157	91	489
158	92	488
159	92	488
160	93	487
161	94	486
162	94	486
163	95	485
164	95	484
165	96	483
166	96	482
167	97	482
168	97	481
169	98	481
170	99	481
171	99	481
172	100	480
173	101	479
174	101	479
175	102	479
176	102	478
177	103	478
178	104	478
179	104	477
180	105	476
181	105	475
182	106	475
183	106	474
184	107	473
185	108	472
186	108	472
187	109	471
188	109	471
189	110	470
190	110	469
191	111	468
192	111	468
193	112	467
194	113	466
195	113	466
196	114	466
197	115	466
198	115	465
199	116	464
200	116	464
201	117	463
202	117	463
203	118	462
204	119	462
205	119	461
206	120	460
207	120	460
208	121	459
209	122	459
210	122	458
211	123	458
212	123	457
213	124	456
214	124	456
215	125	455
216	125	454
217	126	454
218	127	453
219	127	453
220	128	452
221	128	452
222	129	451
223	130	450
224	130	449
225	131	449
226	131	448
227	132	447
228	132	447
229	133	446
230	134	446
231	134	445
232	135	445
233	135	444
234	136	443
235	136	442
236	137	442
237	137	441
238	138	440
239	138	440
240	139	439
241	140	438
242	140	437
243	141	437
244	141	436
